Issue id,Duplicate id
13478269,13478452
13420488,13420194
13314197,13313687
13289655,13286152
13288139,13287181
13562836,13573172
13336805,13337005
13337005,13336805
13481037,13326665
13478452,13478269
13472129,13473329
13409722,13410294
13410294,13409722
13424270,13365829
13584145,13593745
13473329,13472129
13485413,13491808
13529988,13581486
13432165,13472380
13549948,13599787
13599787,13549948
13595922,13286148
13569380,13582872
13286148,13595922
13593745,13584145
13556559,13580056
13580056,13556559
13435952,13440545
13582872,13569380
13525876,13339558
13581486,13529988
13438913,"13547000, 13396667"
13380496,13381356
13381356,13380496
13573172,13562836
13319673,13319553
13411867,13528626
13522810,13558876
13420194,13420488
13399415,13401591
13389310,13415769
13339673,13348358
13328984,13386877
13546563,13548117
13471087,13472056
13472057,13472420
13483078,13484520
13486472,13485915
13514035,13522853
13526196,13514151
13527792,13534114
13558876,13522810
13345117,13341443
13486069,13502654
13548117,13546563
13547000,13438913
13522853,13514035
13514151,13526196
13534114,13527792
13326665,13481037
13472380,13432165
13362199,13399825
13429758,13429759
13485915,13486472
13484520,13483078
13478606,13423328
13423328,13478606
13479403,13476310
13451378,13450390
13474719,13473338
13436153,13435892
13472420,13472057
13472056,13471087
13344074,13357600
13470812,13434079
13434079,13470812
13450390,13451378
13412852,13432745
13440545,13435952
13338162,13336044
13435892,13436153
13421665,13430997
13430997,13421665
13313687,13314197
13343360,13427168
13415769,13389310
13365829,13424270
13315751,13358149
13386877,13328984
13401591,13399415
13399825,13362199
13338474,13339216
13357600,13344074
13319553,13319673
13353722,13343822
13358149,13315751
13343822,13353722
13336044,13338162
13347124,13339673
13344467,13301212
13341443,13345117
13321043,13345236
13345236,13321043
13279610,13287276
13287276,13279610
13312586,13285270
13339216,13338474
13285270,13312586
13286152,13289655
13287181,13288139
13491808,13485413
13301212,13344467
13352964,13352963
13329652,13323361
13478820,13411867
13339558,13525876
13476310,13479403
13502654,13486069
13429759,13429758
13473338,13474719
13365757,13365756
13432745,13412852
13427168,13343360
13323361,13329652
13352963,13352964
13365756,13365757
