Issue id,Duplicates
1606532,1598175.0
1606814,1605940.0
1607086,1607780
1607160,1608072
1607185,1610812
1607196,1598598.0
1607236,1596826.0
1607296,1583441.0
1607475,1605161.0
1607554,1599138.0
1607616,1377100.0
1607617,1607557.0
1607630,1636347
1607644,1603485.0
1607780,1607086.0
1607807,1605619.0
1607868,1446276.0
1607879,1599138.0
1607927,1606108.0
1607943,1607557.0
1607944,1607557.0
1608005,1596826.0
1608036,"1607698, 1608435, 1608473, 1608672"
1608070,1601905.0
1608072,1607160.0
1608230,353933.0
1608246,1618430
1608303,1596587.0
1608435,1608036.0
1608465,1603956.0
1608473,1608036.0
1608517,1599138.0
1608524,1579451.0
1608564,1073680.0
1608606,1627159
1608622,1586255.0
1608637,1601905.0
1608672,1608036.0
1608687,1830996
1608691,1579451.0
1608696,1716109
1608697,"1611285, 1614543, 1611472.0"
1608710,1215415.0
1608713,1610834
1608726,1605975.0
1608811,1601905.0
1608854,1597029.0
1608859,1592234.0
1608888,1601905.0
1608950,1415016.0
1608973,1608981.0
1609010,1775769.0
1609060,1581383.0
1609166,1609766
1609238,1390089.0
1609398,1480072.0
1609466,1611709
1609492,1605369.0
1609578,1695757
1609635,"1612753, 1612925, 1613785"
1609657,861157.0
1609725,"1609329, 1609333"
1609766,1609166.0
1609777,1605881.0
1609808,1564290.0
1609904,1597029.0
1610019,583299.0
1610031,1605983.0
1610081,1584771
1610122,1773342.0
1610123,1528063.0
1610130,1080682.0
1610146,1597181.0
1610183,1610182.0
1610295,313272.0
1610318,1494353.0
1610323,1603494.0
1610364,1597181.0
1610443,1598464.0
1610492,1610485.0
1610688,1545046.0
1610690,1596389.0
1610764,727420.0
1610812,1607185.0
1610865,1566499.0
1610908,1596826.0
1610932,1615566
1611064,1539395.0
1611066,215554.0
1611069,1609908.0
1611077,1610790.0
1611116,1541780.0
1611276,615761.0
1611285,1608697.0
1611409,1606839.0
1611438,1775765.0
1611507,1613069.0
1611517,616849.0
1611559,1602715.0
1611592,1562490.0
1611598,1635825.0
1611600,"1643925, 1684223, 1916084"
1611685,587400.0
1611702,1429357.0
1611709,1609466.0
1611784,1593983.0
1611796,1603956.0
1611867,1596981.0
1611911,1551040.0
1611920,1597181.0
1612030,1604780.0
1612218,1600210.0
1612254,1638739
1612468,1592780.0
1612624,1401484.0
1612648,1595788
1612653,1619356
1612691,1602728.0
1612753,1609635.0
1612838,1495363.0
1612925,1609635.0
1613024,1471546.0
1613076,1399883.0
1613264,1613788
1613308,1617124
1613337,"1618232, 1618233"
1613339,555694.0
1613345,1612723.0
1613477,1617891
1613630,854315.0
1613788,1613264.0
1613835,860357
1613894,"1614077, 1614119, 1614231, 1615400, 1615406, 1615441, 1615874, 1616036, 1616064, 1616076, 1616699, 1617126, 1617483"
1614077,1613894.0
1614078,1614095
1614095,1614078.0
1614119,1613894.0
1614120,1529689.0
1614149,1219775.0
1614231,1613894.0
1614349,1572344.0
1614387,218257.0
1614482,1549687.0
1614543,1608697.0
1614685,1591040.0
1614757,1592416.0
1614787,1643651.0
1614833,1437524.0
1614984,1566499.0
1615027,1614885.0
1615149,1627008
1615302,"1622448, 1623531"
1615308,1616446
1615390,1432725.0
1615400,1613894.0
1615406,1613894.0
1615441,1613894.0
1615536,1592562.0
1615554,1605881.0
1615566,1610932.0
1615612,"1642194, 1696330"
1615632,1566499.0
1615635,1603803.0
1615827,1219775.0
1615874,1613894.0
1615901,"1528647, 1624151"
1615931,1555173
1616007,1552600.0
1616036,1613894.0
1616058,1616059.0
1616064,1613894.0
1616076,1613894.0
1616110,1601841.0
1616122,587400.0
1616205,394423.0
1616220,"1616231, 1617671"
1616231,1616220.0
1616291,1655525.0
1616303,1615854.0
1616324,1367002
1616446,1615308.0
1616517,1671101
1616531,1634898
1616699,1613894.0
1616772,1569106
1616793,1616726
1616824,"1689824, 1775610.0"
1616946,1607201.0
1617045,1620224.0
1617124,1613308.0
1617126,1613894.0
1617275,1617381
1617381,1617275.0
1617411,1005216.0
1617439,1616880.0
1617458,"1669901, 1747899"
1617483,1613894.0
1617489,1586409.0
1617560,1605975.0
1617891,1613477.0
1617920,545546
1617922,1606512.0
1618087,1607607.0
1618092,1605881.0
1618094,"1678676, 1679159, 1686970, 1740963, 1741889"
1618153,1627676.0
1618226,1535757.0
1618232,1613337.0
1618233,1613337.0
1618239,1578736.0
1618339,1607713.0
1618381,1616880.0
1618430,1608246.0
1618469,1396498.0
1618848,1775792.0
1618902,1606916.0
1618936,1618308
1619036,1653776
1619238,1775778.0
1619356,1612653.0
1619464,1634906.0
1619567,1602220.0
1619570,1605881.0
1619591,1624615
1619639,1506335.0
1619742,1603956.0
1619810,1565574.0
1620224,1617045
1620536,1624400
1620567,1567022.0
1620738,1592739.0
1620740,1572344.0
1620755,1650301
1620927,1605478.0
1621134,1596358.0
1621199,1269505.0
1621231,"1643583, 1645320"
1621301,1622566
1621424,1664155
1621570,"1621600, 1629415, 1629434, 1629509, 1631224, 1631575, 1633201, 1633649, 1635578, 1636377, 1641529, 1643973, 1644078, 1650666, 1653381, 1653688, 1655491, 1656198, 1674103, 1685429, 1703504, 1707321, 1720268, 1720419, 1721566, 1725602, 1741758, 1742781, 1848444, 1918677"
1621600,"1628367, 1621570.0"
1621623,1628405.0
1621634,1631229.0
1621744,1509213.0
1621864,1515073.0
1621876,1619367.0
1622321,1589602.0
1622365,1622367
1622367,1622365.0
1622542,"1622526, 1623279"
1622566,1621301.0
1622583,1818862.0
1622674,1539701.0
1622697,1607713.0
1622730,1060752
1622847,1610110.0
1622957,1509748.0
1622962,1618758.0
1623059,1620018.0
1623109,1625114
1623199,1621736.0
1623229,1624267.0
1623255,1528305.0
1623279,1622542.0
1623466,1860831
1623531,1615302.0
1623555,453455.0
1623599,1625747
1623648,1507582.0
1623678,1575347.0
1623746,1569001.0
1623880,1594034.0
1623888,1629438
1623927,1625773.0
1623938,"1626370, 1721032"
1623939,1605983.0
1623975,1569001.0
1623997,1569001.0
1624044,1624530
1624076,1775750.0
1624107,1658064.0
1624151,1615901.0
1624166,1607713.0
1624222,1412656.0
1624314,1607713.0
1624382,887515.0
1624400,1620536.0
1624457,"1663281, 1738478"
1624530,1624044.0
1624539,1624538.0
1624581,1624580.0
1624615,1619591.0
1624635,1607713.0
1624707,1374217.0
1624746,1607713.0
1624876,1624983.0
1624878,1650525
1624983,"1623972, 1624876, 1625570, 1625586, 1627029"
1625087,1500464.0
1625114,1623109.0
1625148,1607713.0
1625163,1585978.0
1625193,1625195.0
1625195,1625193
1625238,1531004.0
1625415,1625426
1625426,1625415.0
1625453,1607713.0
1625477,1607713.0
1625491,1625475.0
1625570,1624983.0
1625680,1614774.0
1625686,1629703
1625704,1607713.0
1625723,1333781.0
1625747,1623599.0
1625773,1623927
1625785,1627654.0
1625790,1607713.0
1625862,1424587.0
1625883,769476.0
1626042,1604680.0
1626070,1623400.0
1626225,1626673
1626369,1618769.0
1626649,583299.0
1626741,"1235429, 1242765, 1655593"
1626985,1376269.0
1627003,"1689865, 1740886"
1627008,1615149.0
1627087,1622490.0
1627159,1608606.0
1627218,1563141.0
1627332,1563758.0
1627403,1600153.0
1627420,1627801
1627436,167320.0
1627465,1603956.0
1627492,1627522.0
1627517,1575863.0
1627698,1104141.0
1627776,1377100.0
1627833,1775760.0
1627849,1405845.0
1627852,1558478.0
1627861,"1628022, 1628035, 1628054, 1628092"
1627908,1018973.0
1627990,1464700.0
1628011,1627638.0
1628013,1618769.0
1628022,1627861.0
1628025,"1642177, 1642183, 1652302"
1628035,1627861.0
1628051,1337397.0
1628059,1559894.0
1628069,1566084.0
1628081,333714.0
1628092,1627861.0
1628122,1677939
1628171,1397755.0
1628214,1627858.0
1628243,"1628383, 1628576, 1628986, 1629249, 1629287, 1688524"
1628247,1628218.0
1628251,1585912.0
1628273,1628153.0
1628355,333714.0
1628367,1621600.0
1628376,421466.0
1628383,1628243.0
1628396,1884970.0
1628404,1566084.0
1628405,"1593284, 1621623, 1650561"
1628435,1631325
1628451,1383402.0
1628514,1628732.0
1628535,"1628721, 1629210, 1637087"
1628576,1628243.0
1628721,1628535.0
1628731,"1628857, 1628945, 1629259, 1629362, 1629379, 1629498, 1629580, 1629762, 1629772, 1629871, 1629964"
1628732,"1628501, 1628514"
1628857,1628731.0
1628945,1628731.0
1628948,1636692
1628964,1628966
1628966,1628964.0
1628969,1775751.0
1628986,1628243.0
1629049,336193.0
1629072,1597791.0
1629210,1628535.0
1629233,1398567.0
1629241,1567780.0
1629249,1628243.0
1629259,1628731.0
1629287,1628243.0
1629362,1628731.0
1629371,1526983.0
1629376,"1629560, 1629906"
1629379,1628731.0
1629412,781982.0
1629418,1632744.0
1629434,1621570.0
1629480,1628098.0
1629498,1628731.0
1629509,1621570.0
1629559,1472409.0
1629560,1629376.0
1629608,1067293.0
1629684,1598175.0
1629703,1625686.0
1629749,1405382.0
1629762,1628731.0
1629906,1629376.0
1629919,1629924.0
1629924,1629919
1629947,1632114
1629964,1628731.0
1630167,"1450371, 1611878"
1630199,734643.0
1630327,"1642639, 1642645"
1630402,1627858.0
1630515,333714.0
1630543,1546540.0
1630732,1615760
1630751,1628741.0
1630858,1858950
1630993,1631161
1631058,1180329.0
1631140,1616462.0
1631155,1180329.0
1631161,1630993.0
1631185,1585912.0
1631221,1638735
1631226,1555609.0
1631229,1621634
1631239,1787592
1631284,1219775.0
1631289,1632541
1631325,1628435.0
1631362,1632805
1631378,"1631519, 1631669"
1631421,1116565.0
1631519,1631378.0
1631575,1621570.0
1631611,1632754
1631669,1631378.0
1631670,1630111.0
1631672,1498512.0
1631697,757438.0
1631744,1518518.0
1631843,1576130.0
1631876,1494772.0
1631893,1630694.0
1632001,1664120.0
1632189,1632004.0
1632223,1577029.0
1632541,1631289.0
1632570,1632004.0
1632620,1941335
1632744,1629418
1632754,1631611.0
1632778,1617673.0
1632784,1632004.0
1632805,1631362.0
1632889,1638794
1632969,1595393
1633185,1376091.0
1633201,1621570.0
1633203,"1645853, 1653191, 1889409, 1333161.0"
1633213,1635106.0
1633376,1633790.0
1633414,1576130.0
1633591,1600210.0
1633648,1678689
1633751,1630111.0
1633790,"1328864, 1633376"
1633862,1197159.0
1633892,"1628034, 1623400.0"
1633908,1732402
1633916,546254.0
1633944,1634047.0
1634269,1592416.0
1634311,1635696
1634326,1699081
1634368,1475489.0
1634449,1566308
1634644,1651533.0
1634683,1492235.0
1634734,1710004.0
1634898,1616531.0
1635017,1366318.0
1635088,1490614.0
1635106,1633213
1635175,1220723.0
1635287,1630111.0
1635441,1482147.0
1635503,1566084.0
1635504,1398567.0
1635578,1621570.0
1635623,1627801.0
1635707,1630435.0
1635765,1677411
1635825,1611598
1635859,"1615864, 1659322"
1635881,1632318.0
1636032,1636131
1636060,1487529.0
1636113,1630111.0
1636196,1642415.0
1636200,1607713.0
1636312,1636729.0
1636377,1621570.0
1636454,1557654
1636496,"1638171, 1639142, 1639339, 1645484"
1636654,1637885
1636686,1705498
1636692,1628948.0
1636729,1636312
1636760,1566084.0
1636765,706008.0
1636820,"1636981, 1637368, 1637421"
1636840,1597332.0
1636981,1636820.0
1637021,1394241.0
1637050,1630111.0
1637080,1485291.0
1637087,1628535.0
1637153,1080682.0
1637326,1629291.0
1637421,1636820.0
1637607,1546652.0
1637746,1762815
1637901,1507582.0
1637960,946743.0
1638092,1638514
1638171,1636496.0
1638264,1638279
1638279,1638264.0
1638332,1657675
1638352,1639721.0
1638456,1554399.0
1638514,1638092.0
1638701,1615978.0
1638710,1510087.0
1638735,1631221.0
1638739,1612254.0
1638794,1632889.0
1638846,1634592.0
1638958,1775605.0
1639059,1775648.0
1639142,1636496.0
1639177,1639390
1639339,1636496.0
1639355,167320.0
1639390,1639177.0
1639408,1639429.0
1639418,1639429.0
1639429,"1639408, 1639418, 1639421, 1639431, 1639444"
1639444,1639429.0
1639474,1639478.0
1639501,"1696949, 1718846.0"
1639526,1347495.0
1639606,"1639715, 1640043"
1639660,1625774.0
1639715,1639606.0
1639965,1639967
1639967,1639965.0
1640043,1639606.0
1640049,1201734.0
1640177,1403483.0
1640403,1641822
1640774,1763239
1640828,1640615.0
1640837,1632740.0
1640852,"1669357, 1672508"
1640862,1640615.0
1640945,1639131.0
1640948,"1641507, 1646958.0"
1640959,1640962.0
1641086,1641031.0
1641093,1677941
1641125,"1641445, 1651525.0"
1641259,1464264.0
1641276,1639131.0
1641445,1641125.0
1641529,1621570.0
1641533,1643360
1641546,"1601373, 1641240"
1641822,1640403.0
1642084,"1642111, 1642552, 1642740"
1642111,1642084.0
1642112,1398567.0
1642122,1640231.0
1642139,1502664.0
1642156,1377100.0
1642177,1628025.0
1642183,1628025.0
1642217,1775731.0
1642426,1607533.0
1642431,1646156
1642435,"1644463, 1653065, 1653358, 1657431, 1670274, 1754546"
1642442,1637973.0
1642550,1650101
1642552,1642084.0
1642616,1056478.0
1642623,"1733507, 1771669"
1642645,1630327.0
1642649,"1645068, 1659629"
1642697,1775851.0
1642740,1642084.0
1642982,1651304.0
1643012,1646958.0
1643036,1775852.0
1643067,1646016.0
1643200,1553397
1643231,1642078.0
1643360,1641533.0
1643361,1392361.0
1643388,1585912.0
1643424,451689.0
1643503,1643028
1643508,1556777
1643541,1208194.0
1643559,1631848.0
1643583,1621231.0
1643599,1644296.0
1643712,1643820.0
1643719,"1592946, 1645605, 1655157, 1696637, 1772604, 1810767, 1838195, 1853408, 1862164, 1862355, 1874732, 1886368, 1892060, 1898693"
1643860,1643264.0
1643891,1553682.0
1643925,1611600.0
1643942,1643820.0
1644061,1592562.0
1644078,1621570.0
1644296,1643599
1644415,1293420.0
1644436,1557853.0
1644450,1643430.0
1644457,1645078.0
1644463,1642435.0
1644499,546254.0
1644607,1607713.0
1644726,1645641
1644754,215554.0
1644756,1314912.0
1644881,1602220.0
1644986,1640709.0
1645028,1640027.0
1645040,1607713.0
1645068,1642649.0
1645161,1022231.0
1645293,1716237
1645394,"1757962, 1775767.0"
1645396,1784651.0
1645484,1636496.0
1645535,"1619967, 1887093.0"
1645605,1643719.0
1645641,1644726.0
1645648,"1327297, 1430058, 1484262, 1650496, 1684340, 1723550, 1741078, 1912059"
1645688,1645689.0
1645697,1566084.0
1645758,1561850.0
1645771,1582356.0
1645810,1634650.0
1645853,1633203.0
1645958,1507582.0
1646003,1557987.0
1646063,"1715157, 1718872, 1795527, 1818114, 1828124, 1849695, 1850330"
1646156,1642431.0
1646282,1713266.0
1646283,1645983.0
1646403,1775855.0
1646477,1775859.0
1646504,1398567.0
1646670,1570947.0
1646673,"1664212, 1669646"
1646769,444284.0
1646928,1653925
1646957,1020254.0
1646958,"1640948, 1643012"
1647059,492320.0
1647109,1648760
1647197,1469690.0
1647576,"1646850, 1648021"
1647721,"1663949, 1710654, 1713140"
1647758,1646341
1647938,1649856.0
1647973,1775538.0
1648021,1647576.0
1648136,1646140.0
1648293,1636508.0
1648358,1640705
1648385,1655270
1648569,1633957.0
1648760,1647109.0
1648918,1220362.0
1648940,1634650.0
1648965,1495843.0
1648985,1648986
1648986,1648985.0
1649024,1560769.0
1649130,1416881.0
1649135,1634650.0
1649173,1665140
1649394,1649393.0
1649403,1648465.0
1649661,1649413.0
1649689,1642415.0
1649767,1502666.0
1649816,1649413.0
1649826,1631848.0
1649829,1649413.0
1649915,1680834
1649972,1650349
1649983,1134514.0
1650101,1642550.0
1650162,"1651014, 1651174, 1651395"
1650209,1731824
1650301,1620755.0
1650302,844092.0
1650341,167320.0
1650349,1649972.0
1650369,"1654747, 1659678"
1650496,1645648.0
1650511,1493795
1650561,1628405.0
1650574,1629122.0
1650603,"1553695, 1654567"
1650635,"1651895, 1682423, 1706311, 1706330"
1650669,1650590.0
1650683,1650684
1650684,1650683.0
1650758,1469690.0
1650880,1653258
1651014,"1651427, 1650162.0"
1651046,1635927.0
1651062,1658898
1651144,1607713.0
1651174,1650162.0
1651189,1177714
1651277,1775858.0
1651304,"1642982, 1658909, 1671142"
1651337,1667787.0
1651372,"1652415, 1596738.0"
1651395,1650162.0
1651427,1651014.0
1651525,1641125
1651533,1634644
1651560,1653774.0
1651636,1378296
1651644,"1696140, 1709003"
1651800,"1657275, 1712388, 1813366"
1651846,700999.0
1651895,1650635.0
1651919,1596738.0
1651969,1840705.0
1651978,1651979
1651979,1651978.0
1652024,"1652166, 1652214, 1652217, 1652226, 1652251, 1652280, 1652297, 1652306, 1652320, 1652346, 1652347, 1652367, 1652370, 1652443, 1652848"
1652165,1596738.0
1652166,1652024.0
1652195,1644612.0
1652214,1652024.0
1652217,1652024.0
1652226,1652024.0
1652237,1668068
1652251,1652024.0
1652280,1652024.0
1652293,1596738.0
1652297,1652024.0
1652302,1628025.0
1652306,1652024.0
1652320,1652024.0
1652346,1652024.0
1652347,1652024.0
1652367,1652024.0
1652370,1652024.0
1652394,1775785.0
1652415,1651372.0
1652424,1493935.0
