Issue id,Duplicate id
13597463,13592488
13589694,13586879
13346504,13346505
13516063,13518196
13506199,13515882
13373120,13361007
13300231,13295946
13361007,13373120
13473128,13485195
13543837,13546863
13586879,13589694
13558090,13558337
13552341,13551543
13307933,13307934
13429383,13420719
13432319,13413292
13475730,13337307
13307934,13307933
13449073,13446733
13370704,13368326
13365275,13292045
13362275,13362276
13335497,13377994
13594251,13569689
13602508,13526136
13579939,13570023
13526136,13602508
13375680,13575921
13599363,13599364
13599364,13599363
13592488,13597463
13401947,13381011
13589845,13588393
13588393,13589845
13556321,13549566
13549566,13556321
13485195,13473128
13563989,13579472
13579472,13563989
13582053,13576846
13366643,13415609
13547053,13547051
13537904,13565815
13565815,13537904
13578505,13579953
13537559,13520424
13579953,13578505
13547324,13546747
13514886,13516200
13547050,13547049
13547051,13547050
13556802,13557671
13557671,13556802
13416957,13407830
13407830,13416957
13570248,13570245
13570245,13570248
13546863,13543596
13573273,13387651
13575921,13375680
13406749,13415306
13574453,13574509
13574509,13574453
13572863,13573074
13565644,13569289
13387651,13573273
13573074,13572863
13569289,13565644
13571819,13560552
13560552,13571819
13562592,13562653
13537739,13335671
13564785,13565868
13565868,13564785
13311794,13386733
13562653,13562592
13412659,13412660
13558337,13558090
13555277,13557588
13557588,13555277
13551543,13552341
13553941,13553943
13553943,13553941
13520424,13537559
13537028,13537100
13392240,13468509
13468509,13392240
13482317,13537907
13400047,13438855
13438855,13400047
13536388,13536389
13547799,13548366
13548366,13547799
13541983,13545024
13538042,13535712
13537138,13537149
13541301,13540227
13540227,13541301
13543527,13545437
13545437,13543527
13537016,13537069
13345939,13305276
13543885,13543871
13543871,13543885
13278345,13481726
13537149,13537138
13535713,"13538042, 13537070"
13535712,13538042
13537136,13537016
13537105,13537028
13537070,13535713
13537907,13482317
13418517,13430483
13430483,13418517
13478489,13416440
13536389,13536388
13529123,13533856
13533856,13529123
13529161,13527018
13527018,13529161
13532414,13532022
13532022,13532414
13532101,13531368
13494183,13529870
13520234,13520892
13525639,13529764
13529764,13525639
13527049,13526107
13527183,13527045
13527045,13527183
13525296,13528096
13485979,13525629
13525629,13485979
13526107,13527049
13515499,13480463
13525401,13516209
13516195,13516146
13516209,13525401
13518196,13516063
13516146,13516195
13517668,13521576
13424536,13482060
13482060,13424536
13346333,13412659
13514538,13522879
13522879,13514538
13513638,13506718
13514673,13522145
13522145,13514673
13521649,13518038
13514672,13493390
13400791,13400626
13400626,13400791
13503183,13502634
13502634,13503183
13509229,13509808
13509808,13509229
13516200,13514886
13515722,13515878
13515882,13506199
13515878,13515722
13515455,13514861
13514872,13515455
13493390,13514672
13509166,13412208
13297945,13290748
13353282,13353170
13382956,13407897
13383839,13382956
13315911,13317591
13360989,13360944
13361755,13336581
13328674,13328811
13475837,13477564
13379394,13379396
13373270,13356034
13345188,13315133
13328229,13329042
13318244,13318249
13312347,13364756
13411684,13411409
13306239,13306238
13327984,13286356
13281157,13283182
13316521,13342897
13422137,13406971
13368688,13299123
13286397,13286398
13321190,13324252
13286398,13286397
13450861,13450863
13386450,13438681
13398147,13396794
13481726,13278345
13344267,13339536
13398092,13391825
13433482,13390545
13398288,13311700
13445315,13445316
13355465,13354865
13348885,13349072
13317591,13315911
13326338,13322032
13366842,13366836
13301439,13301431
13415306,13406749
13449090,13449113
13449113,13449090
13342897,13316521
13353170,13353282
13420719,13429383
13292045,13365275
13315082,13320353
13390806,13391479
13391479,13390806
13325445,13325444
13477564,13475837
